Wall time,Step,Value
1542189472.5200608,475,1.370903009956237e-05
1542189473.0971174,476,1.4601927432522643e-05
1542189473.6677895,477,1.4441011444432661e-05
1542189474.2801266,478,1.471966243116185e-05
1542189474.860991,479,1.385855648550205e-05
1542189475.4980552,480,1.4152114090393297e-05
1542189476.196005,481,1.4239571100915782e-05
1542189476.8215945,482,1.3780601875623688e-05
1542189477.4366577,483,1.4322542483569123e-05
1542189478.0007243,484,1.3925605344411451e-05
1542189478.595004,485,1.4943327187211253e-05
1542189479.2252245,486,1.4329730220197234e-05
1542189479.8327594,487,1.4510217624774668e-05
1542189480.4393163,488,1.4018988622410689e-05
1542189481.0464604,489,1.4690884199808352e-05
1542189481.648074,490,1.4461178579949774e-05
1542189482.2532039,491,1.3953943380329292e-05
1542189482.8588092,492,1.4304173419077415e-05
1542189483.4462633,493,1.4085689144849312e-05
1542189484.0755785,494,1.4253393601393327e-05
1542189484.7030985,495,1.4665907656308264e-05
1542189485.3104196,496,1.5019646525615826e-05
1542189485.8981476,497,1.3889318324800115e-05
1542189486.4843447,498,1.45981603054679e-05
1542189487.1068652,499,1.450738636776805e-05
1542189487.7038946,500,1.4079608263273258e-05
1542189488.289803,501,1.3847356967744417e-05
1542189488.8577273,502,1.5079246622917708e-05
1542189489.4282649,503,1.386485109833302e-05
1542189490.00893,504,1.3527771443477832e-05
1542189490.5909429,505,1.450998752261512e-05
1542189491.1704714,506,1.4080793334869668e-05
1542189491.7719035,507,1.3790338016406167e-05
1542189492.391301,508,1.3809743904857896e-05
1542189493.0091417,509,1.3996944289829116e-05
1542189493.6297376,510,1.5052142771310173e-05
1542189494.2790833,511,1.3770880286756437e-05
1542189494.9185312,512,1.4191060472512618e-05
1542189495.553134,513,1.3757124179392122e-05
1542189496.2054546,514,1.3706430763704702e-05
1542189496.8230076,515,1.383065500704106e-05
1542189497.4484873,516,1.4345378076541238e-05
1542189498.0312734,517,1.3824344932800159e-05
1542189498.5937078,518,1.4525966435030568e-05
1542189499.2247982,519,1.3635475625051185e-05
1542189499.8516066,520,1.3922612197347917e-05
1542189500.4751391,521,1.3759491594100837e-05
1542189501.0447462,522,1.4203867976902984e-05
1542189501.5981894,523,1.3903358194511384e-05
1542189502.179848,524,1.4486639884125907e-05
1542189502.777475,525,1.4064151400816627e-05
1542189503.355965,526,1.412207984685665e-05
1542189503.9479706,527,1.4307264791568741e-05
1542189504.5322711,528,1.3962335287942551e-05
1542189505.1079278,529,1.3939081327407621e-05
1542189505.709092,530,1.3758781278738752e-05
1542189506.3342946,531,1.4199466022546403e-05
1542189506.9546645,532,1.4245262718759477e-05
1542189507.5776896,533,1.466973753849743e-05
1542189508.179037,534,1.4282494703365956e-05
1542189508.7785418,535,1.3895994015911128e-05
1542189509.3722968,536,1.387777319905581e-05
1542189509.9787042,537,1.4870792256260756e-05
1542189510.5512292,538,1.3709998711419757e-05
1542189511.1242485,539,1.3953816051071044e-05
1542189511.7225177,540,1.3937725270807277e-05
1542189512.332538,541,1.4253472727432381e-05
1542189512.9345465,542,1.4052056030777749e-05
1542189513.5021658,543,1.3731865692534484e-05
1542189514.0800438,544,1.4281768017099239e-05
1542189514.7031922,545,1.3622554433823097e-05
1542189515.3078823,546,1.4061866750125773e-05
